Frage,Antwort
What is the operating system of Lava X3?,Android 5.1 
Which operating system does Lava X3 use?,Android 5.1 
What is the software platform on Lava X3?,Android 5.1 
What is the CPU of Lava X3?,Quad-core 1.3 GHz
What kind of processor does Lava X3 have?,Quad-core 1.3 GHz
Which CPU is used in Lava X3?,Quad-core 1.3 GHz
How much RAM does Lava X3 have?,8 GB
What is the memory capacity of Lava X3?,8 GB
What is the RAM size on Lava X3?,8 GB
What is the resolution of the front camera on Lava X3?,8 MP| autofocus| LED flash
How many megapixels is the front camera on Lava X3?,8 MP| autofocus| LED flash
What is the quality of the front-facing camera on Lava X3?,8 MP| autofocus| LED flash
What is the price of Lava X3?,100.0
How much does Lava X3 cost?,100.0
What is the price tag of Lava X3?,100.0
What is the published year of Lava X10?,2015
When was Lava X10 published?,2015
In which year was Lava X10 released?,2015
What is the display resolution of Lava X10?,5.0 inches 
What is the resolution of the display on Lava X10?,5.0 inches 
How many pixels does the display of Lava X10 have?,5.0 inches 
What is the display size of Lava X10?,720 x 1280 pixels 
How big is the display on Lava X10?,720 x 1280 pixels 
What is the diagonal size of the display on Lava X10?,720 x 1280 pixels 
What is the operating system of Lava X10?,Android 5.1 | planned upgrade to 6.0 
Which operating system does Lava X10 use?,Android 5.1 | planned upgrade to 6.0 
What is the software platform on Lava X10?,Android 5.1 | planned upgrade to 6.0 
What is the CPU of Lava X10?,Quad-core 1.3 GHz Cortex-A53
What kind of processor does Lava X10 have?,Quad-core 1.3 GHz Cortex-A53
Which CPU is used in Lava X10?,Quad-core 1.3 GHz Cortex-A53
How much RAM does Lava X10 have?,16 GB
What is the memory capacity of Lava X10?,16 GB
What is the RAM size on Lava X10?,16 GB
What is the resolution of the front camera on Lava X10?,13 MP| autofocus| dual-LED flash
How many megapixels is the front camera on Lava X10?,13 MP| autofocus| dual-LED flash
What is the quality of the front-facing camera on Lava X10?,13 MP| autofocus| dual-LED flash
What is the price of Lava X10?,150.0
How much does Lava X10 cost?,150.0
What is the price tag of Lava X10?,150.0
What is the published year of Lava Pixel V2?,2015
When was Lava Pixel V2 published?,2015
In which year was Lava Pixel V2 released?,2015
What is the display resolution of Lava Pixel V2?,5.0 inches 
What is the resolution of the display on Lava Pixel V2?,5.0 inches 
How many pixels does the display of Lava Pixel V2 have?,5.0 inches 
What is the display size of Lava Pixel V2?,720 x 1280 pixels 
How big is the display on Lava Pixel V2?,720 x 1280 pixels 
What is the diagonal size of the display on Lava Pixel V2?,720 x 1280 pixels 
What is the operating system of Lava Pixel V2?,Android 5.1 
Which operating system does Lava Pixel V2 use?,Android 5.1 
What is the software platform on Lava Pixel V2?,Android 5.1 
What is the CPU of Lava Pixel V2?,Quad-core 1.0 GHz Cortex-A53
What kind of processor does Lava Pixel V2 have?,Quad-core 1.0 GHz Cortex-A53
Which CPU is used in Lava Pixel V2?,Quad-core 1.0 GHz Cortex-A53
How much RAM does Lava Pixel V2 have?,16 GB
What is the memory capacity of Lava Pixel V2?,16 GB
What is the RAM size on Lava Pixel V2?,16 GB
What is the resolution of the front camera on Lava Pixel V2?,13 MP| autofocus| dual-LED flash
How many megapixels is the front camera on Lava Pixel V2?,13 MP| autofocus| dual-LED flash
What is the quality of the front-facing camera on Lava Pixel V2?,13 MP| autofocus| dual-LED flash
What is the price of Lava Pixel V2?,120.0
How much does Lava Pixel V2 cost?,120.0
What is the price tag of Lava Pixel V2?,120.0
What is the published year of Lava Pixel V1?,2015
When was Lava Pixel V1 published?,2015
In which year was Lava Pixel V1 released?,2015
What is the display resolution of Lava Pixel V1?,5.5 inches 
What is the resolution of the display on Lava Pixel V1?,5.5 inches 
How many pixels does the display of Lava Pixel V1 have?,5.5 inches 
What is the display size of Lava Pixel V1?,720 x 1280 pixels 
How big is the display on Lava Pixel V1?,720 x 1280 pixels 
What is the diagonal size of the display on Lava Pixel V1?,720 x 1280 pixels 
What is the operating system of Lava Pixel V1?,Android 5.1.1 | upgradable to 6.0 
Which operating system does Lava Pixel V1 use?,Android 5.1.1 | upgradable to 6.0 
What is the software platform on Lava Pixel V1?,Android 5.1.1 | upgradable to 6.0 
What is the CPU of Lava Pixel V1?,Quad-core 1.3 GHz
What kind of processor does Lava Pixel V1 have?,Quad-core 1.3 GHz
Which CPU is used in Lava Pixel V1?,Quad-core 1.3 GHz
How much RAM does Lava Pixel V1 have?,32 GB
What is the memory capacity of Lava Pixel V1?,32 GB
What is the RAM size on Lava Pixel V1?,32 GB
What is the resolution of the front camera on Lava Pixel V1?,8 MP| autofocus| LED flash (13 MP via SW interpolation)
How many megapixels is the front camera on Lava Pixel V1?,8 MP| autofocus| LED flash (13 MP via SW interpolation)
What is the quality of the front-facing camera on Lava Pixel V1?,8 MP| autofocus| LED flash (13 MP via SW interpolation)
What is the price of Lava Pixel V1?,160.0
How much does Lava Pixel V1 cost?,160.0
What is the price tag of Lava Pixel V1?,160.0
What is the published year of Lava Iris X1 Grand?,2015
When was Lava Iris X1 Grand published?,2015
In which year was Lava Iris X1 Grand released?,2015
What is the display resolution of Lava Iris X1 Grand?,5.0 inches 
What is the resolution of the display on Lava Iris X1 Grand?,5.0 inches 
How many pixels does the display of Lava Iris X1 Grand have?,5.0 inches 
What is the display size of Lava Iris X1 Grand?,480 x 854 pixels 
How big is the display on Lava Iris X1 Grand?,480 x 854 pixels 
What is the diagonal size of the display on Lava Iris X1 Grand?,480 x 854 pixels 
What is the operating system of Lava Iris X1 Grand?,Android 4.4.2 | upgradable to 5.0 
Which operating system does Lava Iris X1 Grand use?,Android 4.4.2 | upgradable to 5.0 
What is the software platform on Lava Iris X1 Grand?,Android 4.4.2 | upgradable to 5.0 
What is the CPU of Lava Iris X1 Grand?,Quad-core 1.3 GHz Cortex-A7
What kind of processor does Lava Iris X1 Grand have?,Quad-core 1.3 GHz Cortex-A7
Which CPU is used in Lava Iris X1 Grand?,Quad-core 1.3 GHz Cortex-A7
How much RAM does Lava Iris X1 Grand have?,8 GB
What is the memory capacity of Lava Iris X1 Grand?,8 GB
What is the RAM size on Lava Iris X1 Grand?,8 GB
What is the resolution of the front camera on Lava Iris X1 Grand?,8 MP| autofocus| dual-LED flash
How many megapixels is the front camera on Lava Iris X1 Grand?,8 MP| autofocus| dual-LED flash
What is the quality of the front-facing camera on Lava Iris X1 Grand?,8 MP| autofocus| dual-LED flash
What is the price of Lava Iris X1 Grand?,110.0
How much does Lava Iris X1 Grand cost?,110.0
What is the price tag of Lava Iris X1 Grand?,110.0
What is the published year of Lava Iris X8?,2015
When was Lava Iris X8 published?,2015
In which year was Lava Iris X8 released?,2015
What is the display resolution of Lava Iris X8?,5.0 inches 
What is the resolution of the display on Lava Iris X8?,5.0 inches 
How many pixels does the display of Lava Iris X8 have?,5.0 inches 
What is the display size of Lava Iris X8?,720 x 1280 pixels 
How big is the display on Lava Iris X8?,720 x 1280 pixels 
What is the diagonal size of the display on Lava Iris X8?,720 x 1280 pixels 
What is the operating system of Lava Iris X8?,Android 4.4.2 | upgradable to 5.1 
Which operating system does Lava Iris X8 use?,Android 4.4.2 | upgradable to 5.1 
What is the software platform on Lava Iris X8?,Android 4.4.2 | upgradable to 5.1 
What is the CPU of Lava Iris X8?,Octa-core 1.4 GHz Cortex-A7
What kind of processor does Lava Iris X8 have?,Octa-core 1.4 GHz Cortex-A7
Which CPU is used in Lava Iris X8?,Octa-core 1.4 GHz Cortex-A7
How much RAM does Lava Iris X8 have?,8 GB
What is the memory capacity of Lava Iris X8?,8 GB
What is the RAM size on Lava Iris X8?,8 GB
What is the resolution of the front camera on Lava Iris X8?,8 MP| dual-LED flash
How many megapixels is the front camera on Lava Iris X8?,8 MP| dual-LED flash
What is the quality of the front-facing camera on Lava Iris X8?,8 MP| dual-LED flash
What is the price of Lava Iris X8?,130.0
How much does Lava Iris X8 cost?,130.0
What is the price tag of Lava Iris X8?,130.0
What is the published year of Lava Iris Fuel 60?,2014
When was Lava Iris Fuel 60 published?,2014
In which year was Lava Iris Fuel 60 released?,2014
What is the display resolution of Lava Iris Fuel 60?,5.0 inches 
What is the resolution of the display on Lava Iris Fuel 60?,5.0 inches 
How many pixels does the display of Lava Iris Fuel 60 have?,5.0 inches 
What is the display size of Lava Iris Fuel 60?,720 x 1280 pixels 
How big is the display on Lava Iris Fuel 60?,720 x 1280 pixels 
What is the diagonal size of the display on Lava Iris Fuel 60?,720 x 1280 pixels 
What is the operating system of Lava Iris Fuel 60?,Android 4.4.2 
Which operating system does Lava Iris Fuel 60 use?,Android 4.4.2 
What is the software platform on Lava Iris Fuel 60?,Android 4.4.2 
What is the CPU of Lava Iris Fuel 60?,Quad-core 1.3 GHz
What kind of processor does Lava Iris Fuel 60 have?,Quad-core 1.3 GHz
Which CPU is used in Lava Iris Fuel 60?,Quad-core 1.3 GHz
How much RAM does Lava Iris Fuel 60 have?,8 GB
What is the memory capacity of Lava Iris Fuel 60?,8 GB
What is the RAM size on Lava Iris Fuel 60?,8 GB
What is the resolution of the front camera on Lava Iris Fuel 60?,10 MP| autofocus| LED flash
How many megapixels is the front camera on Lava Iris Fuel 60?,10 MP| autofocus| LED flash
What is the quality of the front-facing camera on Lava Iris Fuel 60?,10 MP| autofocus| LED flash
What is the price of Lava Iris Fuel 60?,130.0
How much does Lava Iris Fuel 60 cost?,130.0
What is the price tag of Lava Iris Fuel 60?,130.0
What is the published year of Lava Iris Win1?,2014
When was Lava Iris Win1 published?,2014
In which year was Lava Iris Win1 released?,2014
What is the display resolution of Lava Iris Win1?,4.0 inches 
What is the resolution of the display on Lava Iris Win1?,4.0 inches 
How many pixels does the display of Lava Iris Win1 have?,4.0 inches 
What is the display size of Lava Iris Win1?,480 x 800 pixels 
How big is the display on Lava Iris Win1?,480 x 800 pixels 
What is the diagonal size of the display on Lava Iris Win1?,480 x 800 pixels 
What is the operating system of Lava Iris Win1?,Microsoft Windows Phone 8.1
Which operating system does Lava Iris Win1 use?,Microsoft Windows Phone 8.1
What is the software platform on Lava Iris Win1?,Microsoft Windows Phone 8.1
What is the CPU of Lava Iris Win1?,Quad-core 1.2 GHz Cortex-A7
What kind of processor does Lava Iris Win1 have?,Quad-core 1.2 GHz Cortex-A7
Which CPU is used in Lava Iris Win1?,Quad-core 1.2 GHz Cortex-A7
How much RAM does Lava Iris Win1 have?,8 GB
What is the memory capacity of Lava Iris Win1?,8 GB
What is the RAM size on Lava Iris Win1?,8 GB
What is the resolution of the front camera on Lava Iris Win1?,5 MP| autofocus| LED flash
How many megapixels is the front camera on Lava Iris Win1?,5 MP| autofocus| LED flash
What is the quality of the front-facing camera on Lava Iris Win1?,5 MP| autofocus| LED flash
What is the price of Lava Iris Win1?,70.0
How much does Lava Iris Win1 cost?,70.0
What is the price tag of Lava Iris Win1?,70.0
What is the published year of Lava Iris Fuel 50?,2014
When was Lava Iris Fuel 50 published?,2014
In which year was Lava Iris Fuel 50 released?,2014
What is the display resolution of Lava Iris Fuel 50?,5.0 inches 
What is the resolution of the display on Lava Iris Fuel 50?,5.0 inches 
How many pixels does the display of Lava Iris Fuel 50 have?,5.0 inches 
What is the display size of Lava Iris Fuel 50?,-
How big is the display on Lava Iris Fuel 50?,-
What is the diagonal size of the display on Lava Iris Fuel 50?,-
What is the operating system of Lava Iris Fuel 50?,Android 4.4.2 
Which operating system does Lava Iris Fuel 50 use?,Android 4.4.2 
What is the software platform on Lava Iris Fuel 50?,Android 4.4.2 
What is the CPU of Lava Iris Fuel 50?,Quad-core 1.3 GHz
What kind of processor does Lava Iris Fuel 50 have?,Quad-core 1.3 GHz
Which CPU is used in Lava Iris Fuel 50?,Quad-core 1.3 GHz
How much RAM does Lava Iris Fuel 50 have?,8 GB
What is the memory capacity of Lava Iris Fuel 50?,8 GB
What is the RAM size on Lava Iris Fuel 50?,8 GB
What is the resolution of the front camera on Lava Iris Fuel 50?,8 MP| autofocus| dual-LED flash
How many megapixels is the front camera on Lava Iris Fuel 50?,8 MP| autofocus| dual-LED flash
What is the quality of the front-facing camera on Lava Iris Fuel 50?,8 MP| autofocus| dual-LED flash
What is the price of Lava Iris Fuel 50?,100.0
How much does Lava Iris Fuel 50 cost?,100.0
What is the price tag of Lava Iris Fuel 50?,100.0
What is the published year of Lava Iris X5?,2014
When was Lava Iris X5 published?,2014
In which year was Lava Iris X5 released?,2014
What is the display resolution of Lava Iris X5?,5.0 inches 
What is the resolution of the display on Lava Iris X5?,5.0 inches 
How many pixels does the display of Lava Iris X5 have?,5.0 inches 
What is the display size of Lava Iris X5?,720 x 1280 pixels 
How big is the display on Lava Iris X5?,720 x 1280 pixels 
What is the diagonal size of the display on Lava Iris X5?,720 x 1280 pixels 
What is the operating system of Lava Iris X5?,Android 4.4.2 
Which operating system does Lava Iris X5 use?,Android 4.4.2 
What is the software platform on Lava Iris X5?,Android 4.4.2 
What is the CPU of Lava Iris X5?,Quad-core 1.2 GHz
What kind of processor does Lava Iris X5 have?,Quad-core 1.2 GHz
Which CPU is used in Lava Iris X5?,Quad-core 1.2 GHz
How much RAM does Lava Iris X5 have?,8 GB
What is the memory capacity of Lava Iris X5?,8 GB
What is the RAM size on Lava Iris X5?,8 GB
What is the resolution of the front camera on Lava Iris X5?,8 MP| autofocus| LED flash
How many megapixels is the front camera on Lava Iris X5?,8 MP| autofocus| LED flash
What is the quality of the front-facing camera on Lava Iris X5?,8 MP| autofocus| LED flash
What is the price of Lava Iris X5?,110.0
How much does Lava Iris X5 cost?,110.0
What is the price tag of Lava Iris X5?,110.0
What is the published year of Lava Iris Pro 30+?,2014
When was Lava Iris Pro 30+ published?,2014
In which year was Lava Iris Pro 30+ released?,2014
What is the display resolution of Lava Iris Pro 30+?,4.7 inches 
What is the resolution of the display on Lava Iris Pro 30+?,4.7 inches 
How many pixels does the display of Lava Iris Pro 30+ have?,4.7 inches 
What is the display size of Lava Iris Pro 30+?,720 x 1280 pixels 
How big is the display on Lava Iris Pro 30+?,720 x 1280 pixels 
What is the diagonal size of the display on Lava Iris Pro 30+?,720 x 1280 pixels 
What is the operating system of Lava Iris Pro 30+?,Android 4.2 
Which operating system does Lava Iris Pro 30+ use?,Android 4.2 
What is the software platform on Lava Iris Pro 30+?,Android 4.2 
What is the CPU of Lava Iris Pro 30+?,Quad-core 1.5 GHz
What kind of processor does Lava Iris Pro 30+ have?,Quad-core 1.5 GHz
Which CPU is used in Lava Iris Pro 30+?,Quad-core 1.5 GHz
How much RAM does Lava Iris Pro 30+ have?,16 GB
What is the memory capacity of Lava Iris Pro 30+?,16 GB
What is the RAM size on Lava Iris Pro 30+?,16 GB
What is the resolution of the front camera on Lava Iris Pro 30+?,13 MP| autofocus| dual-LED flash
How many megapixels is the front camera on Lava Iris Pro 30+?,13 MP| autofocus| dual-LED flash
What is the quality of the front-facing camera on Lava Iris Pro 30+?,13 MP| autofocus| dual-LED flash
What is the price of Lava Iris Pro 30+?,150.0
How much does Lava Iris Pro 30+ cost?,150.0
What is the price tag of Lava Iris Pro 30+?,150.0
What is the published year of Lava Iris X1?,2014
When was Lava Iris X1 published?,2014
In which year was Lava Iris X1 released?,2014
What is the display resolution of Lava Iris X1?,4.5 inches 
What is the resolution of the display on Lava Iris X1?,4.5 inches 
How many pixels does the display of Lava Iris X1 have?,4.5 inches 
What is the display size of Lava Iris X1?,480 x 854 pixels 
How big is the display on Lava Iris X1?,480 x 854 pixels 
What is the diagonal size of the display on Lava Iris X1?,480 x 854 pixels 
What is the operating system of Lava Iris X1?,Android 4.4.2 
Which operating system does Lava Iris X1 use?,Android 4.4.2 
What is the software platform on Lava Iris X1?,Android 4.4.2 
What is the CPU of Lava Iris X1?,Quad-core 1.2 GHz
What kind of processor does Lava Iris X1 have?,Quad-core 1.2 GHz
Which CPU is used in Lava Iris X1?,Quad-core 1.2 GHz
How much RAM does Lava Iris X1 have?,8 GB
What is the memory capacity of Lava Iris X1?,8 GB
What is the RAM size on Lava Iris X1?,8 GB
What is the resolution of the front camera on Lava Iris X1?,8 MP| autofocus| LED flash
How many megapixels is the front camera on Lava Iris X1?,8 MP| autofocus| LED flash
What is the quality of the front-facing camera on Lava Iris X1?,8 MP| autofocus| LED flash
What is the price of Lava Iris X1?,100.0
How much does Lava Iris X1 cost?,100.0
What is the price tag of Lava Iris X1?,100.0
What is the published year of Lava Iris 450 Colour?,2014
When was Lava Iris 450 Colour published?,2014
In which year was Lava Iris 450 Colour released?,2014
What is the display resolution of Lava Iris 450 Colour?,4.5 inches 
What is the resolution of the display on Lava Iris 450 Colour?,4.5 inches 
How many pixels does the display of Lava Iris 450 Colour have?,4.5 inches 
What is the display size of Lava Iris 450 Colour?,480 x 854 pixels 
How big is the display on Lava Iris 450 Colour?,480 x 854 pixels 
What is the diagonal size of the display on Lava Iris 450 Colour?,480 x 854 pixels 
What is the operating system of Lava Iris 450 Colour?,Android 4.2 
Which operating system does Lava Iris 450 Colour use?,Android 4.2 
What is the software platform on Lava Iris 450 Colour?,Android 4.2 
What is the CPU of Lava Iris 450 Colour?,Dual-core 1.3 GHz
What kind of processor does Lava Iris 450 Colour have?,Dual-core 1.3 GHz
Which CPU is used in Lava Iris 450 Colour?,Dual-core 1.3 GHz
How much RAM does Lava Iris 450 Colour have?,4 GB
What is the memory capacity of Lava Iris 450 Colour?,4 GB
What is the RAM size on Lava Iris 450 Colour?,4 GB
What is the resolution of the front camera on Lava Iris 450 Colour?,5 MP| LED flash
How many megapixels is the front camera on Lava Iris 450 Colour?,5 MP| LED flash
What is the quality of the front-facing camera on Lava Iris 450 Colour?,5 MP| LED flash
What is the price of Lava Iris 450 Colour?,100.0
How much does Lava Iris 450 Colour cost?,100.0
What is the price tag of Lava Iris 450 Colour?,100.0
What is the published year of Lava Iris 406Q?,2014
When was Lava Iris 406Q published?,2014
In which year was Lava Iris 406Q released?,2014
What is the display resolution of Lava Iris 406Q?,4.0 inches 
What is the resolution of the display on Lava Iris 406Q?,4.0 inches 
How many pixels does the display of Lava Iris 406Q have?,4.0 inches 
What is the display size of Lava Iris 406Q?,480 x 800 pixels 
How big is the display on Lava Iris 406Q?,480 x 800 pixels 
What is the diagonal size of the display on Lava Iris 406Q?,480 x 800 pixels 
What is the operating system of Lava Iris 406Q?,Android 4.3 | planned upgrade to 4.4.2 
Which operating system does Lava Iris 406Q use?,Android 4.3 | planned upgrade to 4.4.2 
What is the software platform on Lava Iris 406Q?,Android 4.3 | planned upgrade to 4.4.2 
What is the CPU of Lava Iris 406Q?,Quad-core 1.2 GHz Cortex-A7
What kind of processor does Lava Iris 406Q have?,Quad-core 1.2 GHz Cortex-A7
Which CPU is used in Lava Iris 406Q?,Quad-core 1.2 GHz Cortex-A7
How much RAM does Lava Iris 406Q have?,4 GB
What is the memory capacity of Lava Iris 406Q?,4 GB
What is the RAM size on Lava Iris 406Q?,4 GB
What is the resolution of the front camera on Lava Iris 406Q?,5 MP| LED flash
How many megapixels is the front camera on Lava Iris 406Q?,5 MP| LED flash
What is the quality of the front-facing camera on Lava Iris 406Q?,5 MP| LED flash
What is the price of Lava Iris 406Q?,80.0
How much does Lava Iris 406Q cost?,80.0
What is the price tag of Lava Iris 406Q?,80.0
What is the published year of Lava Iris 550Q?,2014
When was Lava Iris 550Q published?,2014
In which year was Lava Iris 550Q released?,2014
What is the display resolution of Lava Iris 550Q?,5.5 inches 
What is the resolution of the display on Lava Iris 550Q?,5.5 inches 
How many pixels does the display of Lava Iris 550Q have?,5.5 inches 
What is the display size of Lava Iris 550Q?,720 x 1280 pixels 
How big is the display on Lava Iris 550Q?,720 x 1280 pixels 
What is the diagonal size of the display on Lava Iris 550Q?,720 x 1280 pixels 
What is the operating system of Lava Iris 550Q?,Android 4.2 
Which operating system does Lava Iris 550Q use?,Android 4.2 
What is the software platform on Lava Iris 550Q?,Android 4.2 
What is the CPU of Lava Iris 550Q?,Quad-core 1.2 GHz
What kind of processor does Lava Iris 550Q have?,Quad-core 1.2 GHz
Which CPU is used in Lava Iris 550Q?,Quad-core 1.2 GHz
How much RAM does Lava Iris 550Q have?,4 GB
What is the memory capacity of Lava Iris 550Q?,4 GB
What is the RAM size on Lava Iris 550Q?,4 GB
What is the resolution of the front camera on Lava Iris 550Q?,8 MP| autofocus| LED flash
How many megapixels is the front camera on Lava Iris 550Q?,8 MP| autofocus| LED flash
What is the quality of the front-facing camera on Lava Iris 550Q?,8 MP| autofocus| LED flash
What is the price of Lava Iris 550Q?,150.0
How much does Lava Iris 550Q cost?,150.0
What is the price tag of Lava Iris 550Q?,150.0
What is the published year of Lava Iris Pro 20?,2014
When was Lava Iris Pro 20 published?,2014
In which year was Lava Iris Pro 20 released?,2014
What is the display resolution of Lava Iris Pro 20?,4.7 inches 
What is the resolution of the display on Lava Iris Pro 20?,4.7 inches 
How many pixels does the display of Lava Iris Pro 20 have?,4.7 inches 
What is the display size of Lava Iris Pro 20?,540 x 960 pixels 
How big is the display on Lava Iris Pro 20?,540 x 960 pixels 
What is the diagonal size of the display on Lava Iris Pro 20?,540 x 960 pixels 
What is the operating system of Lava Iris Pro 20?,Android 4.2.1 
Which operating system does Lava Iris Pro 20 use?,Android 4.2.1 
What is the software platform on Lava Iris Pro 20?,Android 4.2.1 
What is the CPU of Lava Iris Pro 20?,Quad-core 1.2 GHz
What kind of processor does Lava Iris Pro 20 have?,Quad-core 1.2 GHz
Which CPU is used in Lava Iris Pro 20?,Quad-core 1.2 GHz
How much RAM does Lava Iris Pro 20 have?,4 GB
What is the memory capacity of Lava Iris Pro 20?,4 GB
What is the RAM size on Lava Iris Pro 20?,4 GB
What is the resolution of the front camera on Lava Iris Pro 20?,8 MP| autofocus| dual-LED flash
How many megapixels is the front camera on Lava Iris Pro 20?,8 MP| autofocus| dual-LED flash
What is the quality of the front-facing camera on Lava Iris Pro 20?,8 MP| autofocus| dual-LED flash
What is the price of Lava Iris Pro 20?,150.0
How much does Lava Iris Pro 20 cost?,150.0
What is the price tag of Lava Iris Pro 20?,150.0
What is the published year of Lava Iris Pro 30?,2014
When was Lava Iris Pro 30 published?,2014
In which year was Lava Iris Pro 30 released?,2014
What is the display resolution of Lava Iris Pro 30?,4.7 inches 
What is the resolution of the display on Lava Iris Pro 30?,4.7 inches 
How many pixels does the display of Lava Iris Pro 30 have?,4.7 inches 
What is the display size of Lava Iris Pro 30?,720 x 1280 pixels 
How big is the display on Lava Iris Pro 30?,720 x 1280 pixels 
What is the diagonal size of the display on Lava Iris Pro 30?,720 x 1280 pixels 
What is the operating system of Lava Iris Pro 30?,Android 4.2.1 
Which operating system does Lava Iris Pro 30 use?,Android 4.2.1 
What is the software platform on Lava Iris Pro 30?,Android 4.2.1 
What is the CPU of Lava Iris Pro 30?,Quad-core 1.2 GHz
What kind of processor does Lava Iris Pro 30 have?,Quad-core 1.2 GHz
Which CPU is used in Lava Iris Pro 30?,Quad-core 1.2 GHz
How much RAM does Lava Iris Pro 30 have?,4 GB
What is the memory capacity of Lava Iris Pro 30?,4 GB
What is the RAM size on Lava Iris Pro 30?,4 GB
What is the resolution of the front camera on Lava Iris Pro 30?,8 MP| autofocus| dual-LED flash
How many megapixels is the front camera on Lava Iris Pro 30?,8 MP| autofocus| dual-LED flash
What is the quality of the front-facing camera on Lava Iris Pro 30?,8 MP| autofocus| dual-LED flash
What is the price of Lava Iris Pro 30?,180.0
How much does Lava Iris Pro 30 cost?,180.0
What is the price tag of Lava Iris Pro 30?,180.0
What is the published year of LeEco Le Pro 3 AI Edition?,2017
When was LeEco Le Pro 3 AI Edition published?,2017
In which year was LeEco Le Pro 3 AI Edition released?,2017
What is the display resolution of LeEco Le Pro 3 AI Edition?,5.5 inches 
What is the resolution of the display on LeEco Le Pro 3 AI Edition?,5.5 inches 
How many pixels does the display of LeEco Le Pro 3 AI Edition have?,5.5 inches 
What is the display size of LeEco Le Pro 3 AI Edition?,1080 x 1920 pixels 
How big is the display on LeEco Le Pro 3 AI Edition?,1080 x 1920 pixels 
What is the diagonal size of the display on LeEco Le Pro 3 AI Edition?,1080 x 1920 pixels 
What is the operating system of LeEco Le Pro 3 AI Edition?,Android 6.0 
Which operating system does LeEco Le Pro 3 AI Edition use?,Android 6.0 
What is the software platform on LeEco Le Pro 3 AI Edition?,Android 6.0 
What is the CPU of LeEco Le Pro 3 AI Edition?,Deca-core x2.3 GHz - Standard
What kind of processor does LeEco Le Pro 3 AI Edition have?,Deca-core x2.3 GHz - Standard
Which CPU is used in LeEco Le Pro 3 AI Edition?,Deca-core x2.3 GHz - Standard
How much RAM does LeEco Le Pro 3 AI Edition have?,32 GB
What is the memory capacity of LeEco Le Pro 3 AI Edition?,32 GB
What is the RAM size on LeEco Le Pro 3 AI Edition?,32 GB
What is the resolution of the front camera on LeEco Le Pro 3 AI Edition?,Dual 13 MP| f/2.0| phase detection and laser autofocus| dual-LED (dual tone) flash
How many megapixels is the front camera on LeEco Le Pro 3 AI Edition?,Dual 13 MP| f/2.0| phase detection and laser autofocus| dual-LED (dual tone) flash
What is the quality of the front-facing camera on LeEco Le Pro 3 AI Edition?,Dual 13 MP| f/2.0| phase detection and laser autofocus| dual-LED (dual tone) flash
What is the price of LeEco Le Pro 3 AI Edition?,280.0
How much does LeEco Le Pro 3 AI Edition cost?,280.0
What is the price tag of LeEco Le Pro 3 AI Edition?,280.0
What is the published year of LeEco Le Pro3 Elite?,2017
When was LeEco Le Pro3 Elite published?,2017
In which year was LeEco Le Pro3 Elite released?,2017
What is the display resolution of LeEco Le Pro3 Elite?,5.5 inches 
What is the resolution of the display on LeEco Le Pro3 Elite?,5.5 inches 
How many pixels does the display of LeEco Le Pro3 Elite have?,5.5 inches 
What is the display size of LeEco Le Pro3 Elite?,1080 x 1920 pixels 
How big is the display on LeEco Le Pro3 Elite?,1080 x 1920 pixels 
What is the diagonal size of the display on LeEco Le Pro3 Elite?,1080 x 1920 pixels 
What is the operating system of LeEco Le Pro3 Elite?,Android 6.0 
Which operating system does LeEco Le Pro3 Elite use?,Android 6.0 
What is the software platform on LeEco Le Pro3 Elite?,Android 6.0 
What is the CPU of LeEco Le Pro3 Elite?,Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo)
What kind of processor does LeEco Le Pro3 Elite have?,Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo)
Which CPU is used in LeEco Le Pro3 Elite?,Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo)
How much RAM does LeEco Le Pro3 Elite have?,32 GB
What is the memory capacity of LeEco Le Pro3 Elite?,32 GB
What is the RAM size on LeEco Le Pro3 Elite?,32 GB
What is the resolution of the front camera on LeEco Le Pro3 Elite?,16 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash
How many megapixels is the front camera on LeEco Le Pro3 Elite?,16 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash
What is the quality of the front-facing camera on LeEco Le Pro3 Elite?,16 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash
What is the price of LeEco Le Pro3 Elite?,280.0
How much does LeEco Le Pro3 Elite cost?,280.0
What is the price tag of LeEco Le Pro3 Elite?,280.0
What is the published year of LeEco Le S3?,2016
When was LeEco Le S3 published?,2016
In which year was LeEco Le S3 released?,2016
What is the display resolution of LeEco Le S3?,5.5 inches 
What is the resolution of the display on LeEco Le S3?,5.5 inches 
How many pixels does the display of LeEco Le S3 have?,5.5 inches 
What is the display size of LeEco Le S3?,1080 x 1920 pixels 
How big is the display on LeEco Le S3?,1080 x 1920 pixels 
What is the diagonal size of the display on LeEco Le S3?,1080 x 1920 pixels 
What is the operating system of LeEco Le S3?,Android 6.0 
Which operating system does LeEco Le S3 use?,Android 6.0 
What is the software platform on LeEco Le S3?,Android 6.0 
What is the CPU of LeEco Le S3?,Octa-core (4x1.4 GHz Cortex-A53 & 4x1.8 GHz Cortex-A72)
